Name,Age,Birth Year,Origin,Height,Weight,Category,Wins,Losses,Special Skills,Weapon of Choice,Patron Wealth,Equipment Quality,Public Favor,Injury History,Mental Resilience,Diet and Nutrition,Tactical Knowledge,Allegiance Network,Battle Experience,Psychological Profile,Health Status,Personal Motivation,Previous Occupation,Training Intensity,Battle Strategy,Social Standing,Crowd Appeal Techniques,Survived
Ogulnius Justus,27,161,Germania,175,72,Hoplomachus,6,0,Speed,Spear,Medium,Standard,0.7953703299501608,Low,6.981819826724796,Adequate,Expert,Strong,6,Stoic,Excellent,Glory,Criminal,Medium,Balanced,High,Charismatic,True
Pupius Fannius,40,90,Greece,175,86,Retiarius,10,1,Agility,Net,Low,Basic,0.9381868555404222,Low,6.770522249867894,Poor,Advanced,Strong,11,Aggressive,Good,Freedom,Unemployed,Low,Aggressive,High,Charismatic,True
Brennus Faustus,21,109,Germania,165,72,Provocator,5,1,Speed,Gladius (Sword),Low,Basic,0.6522343693828105,Low,4.732602558340889,Poor,Advanced,Moderate,6,Stoic,Excellent,Freedom,Soldier,Low,Defensive,Low,Intimidating,False
Ninnius Marcius,32,113,Rome,173,68,Secutor,5,2,Endurance,Dagger,Medium,Standard,0.4900638450882904,Low,4.717829123650244,Adequate,Expert,Moderate,7,Calculative,Excellent,Wealth,Laborer,Medium,Balanced,Medium,Charismatic,False
Faustus Horatius,42,16,Germania,190,83,Hoplomachus,2,0,Novice,Spear,Low,Basic,0.4980728993596177,Low,0.9899346179589394,Poor,Intermediate,Moderate,2,Stoic,Good,Vengeance,Entertainer,Low,Balanced,Low,Charismatic,False
Messalla Felix,23,61,Greece,175,83,Thraex,5,1,Novice,Dagger,Medium,Standard,0.6488877077341572,Low,9.2555078145623,Adequate,Intermediate,Moderate,6,Stoic,Excellent,Vengeance,Laborer,Medium,Aggressive,Medium,Intimidating,True
Laetorius Caedicius,27,105,Greece,164,89,Provocator,13,5,Novice,Dagger,High,Superior,0.8231126817770134,High,3.361194910405582,Excellent,Basic,Strong,18,Calculative,Excellent,Freedom,Unemployed,Medium,Aggressive,Medium,Humble,False
Gabinius Acilius,36,138,Numidia,177,88,Hoplomachus,9,2,Novice,Dagger,High,Superior,0.780641547067385,Low,4.891457939836638,Excellent,Intermediate,Strong,11,Fearful,Excellent,Freedom,Entertainer,Low,Balanced,Medium,Charismatic,True
Amulius Caelius,33,73,Rome,178,95,Retiarius,10,0,Agility,Trident,High,Superior,0.8937881172141113,Low,3.157257932572543,Excellent,Advanced,Strong,10,Stoic,Excellent,Freedom,Criminal,Medium,Balanced,Medium,Charismatic,True
Caesennius Domitian,36,135,Gaul,171,73,Murmillo,9,1,Speed,Gladius (Sword),Low,Basic,0.7888588029114716,Low,5.671478158680122,Poor,Advanced,Strong,10,Aggressive,Excellent,Glory,Laborer,Low,Balanced,Low,Charismatic,True
Cornutus Avidius,27,42,Thrace,173,85,Murmillo,8,4,Novice,Dagger,Low,Basic,0.6355653551169419,Low,7.474320129805868,Poor,Intermediate,Moderate,12,Aggressive,Excellent,Survival,Entertainer,Low,Aggressive,Medium,Intimidating,False
Rabirius Secundinius,38,159,Rome,179,81,Secutor,8,1,Endurance,Gladius (Sword),Low,Basic,0.7660383404138406,Low,1.6459458852109388,Poor,Advanced,Strong,9,Stoic,Good,Glory,Entertainer,Medium,Aggressive,Medium,Intimidating,False
Cornificius Laurentius,31,153,Germania,175,60,Provocator,8,2,Novice,Gladius (Sword),High,Superior,0.6761254474177035,Low,1.016670826390612,Excellent,Intermediate,Strong,10,Fearful,Excellent,Glory,Entertainer,Medium,Balanced,High,Humble,False
Vitalis Didius,18,123,Numidia,175,94,Thraex,3,0,Novice,Sica (Curved Sword),Low,Basic,0.4734211434038802,Low,3.84370999222605,Poor,Intermediate,Moderate,3,Fearful,Excellent,Glory,Criminal,High,Balanced,Low,Humble,False
Minicius Mamilius,39,131,Rome,171,84,Provocator,23,8,Novice,Dagger,High,Superior,0.8186441628135771,High,4.120966698323391,Excellent,Intermediate,Strong,31,Aggressive,Good,Glory,Criminal,Medium,Aggressive,Medium,Intimidating,True
Plinius Marius,32,153,Thrace,193,65,Retiarius,8,2,Novice,Net,High,Superior,0.7099279413505186,Low,8.348295210363714,Excellent,Intermediate,Strong,10,Fearful,Excellent,Glory,Criminal,Medium,Aggressive,High,Humble,True
Caninius Rufinus,33,22,Greece,188,69,Provocator,9,1,Novice,Gladius (Sword),High,Superior,0.8088181964983737,Low,6.411704900100431,Excellent,Intermediate,Strong,10,Stoic,Excellent,Survival,Laborer,Medium,Aggressive,High,Humble,True
Nerva Caelius,29,35,Gaul,186,75,Secutor,10,1,Endurance,Dagger,Low,Basic,0.7714356526980573,Low,3.701221785222863,Poor,Advanced,Strong,11,Stoic,Excellent,Freedom,Criminal,Medium,Aggressive,High,Flamboyant,True
Maximian Considius,45,70,Greece,196,109,Provocator,17,3,Endurance,Dagger,Medium,Standard,0.9408152950575376,High,2.709193284169842,Adequate,Advanced,Strong,20,Aggressive,Fair,Vengeance,Criminal,Medium,Balanced,Medium,Flamboyant,False
Mamilius Catius,42,113,Rome,184,78,Retiarius,12,2,Tactics,Trident,High,Superior,0.9511957697857292,Low,2.201478046173189,Excellent,Expert,Strong,14,Stoic,Good,Survival,Entertainer,Medium,Balanced,Medium,Flamboyant,True
Oppius Egnatuleius,24,26,Germania,190,85,Retiarius,10,3,Speed,Trident,High,Superior,0.716512616427803,Low,4.85060271309094,Excellent,Advanced,Strong,13,Fearful,Excellent,Vengeance,Laborer,High,Aggressive,Medium,Humble,True
Cordius Vibius,23,52,Gaul,174,76,Retiarius,7,0,Novice,Net,Medium,Standard,0.8064214244637445,Low,3.5101574101836186,Adequate,Intermediate,Strong,7,Stoic,Excellent,Vengeance,Soldier,High,Aggressive,Low,Intimidating,True
Pompeius Valens,23,27,Thrace,185,70,Hoplomachus,2,1,Tactics,Dagger,Medium,Standard,0.4692716679487838,Low,10.923093544371785,Adequate,Advanced,Moderate,3,Fearful,Excellent,Vengeance,Soldier,Medium,Balanced,Low,Intimidating,False
Donatus Fabrinius,32,49,Thrace,176,74,Provocator,8,5,Speed,Dagger,High,Superior,0.478940009428156,Low,5.925107039197505,Excellent,Advanced,Strong,13,Calculative,Excellent,Freedom,Criminal,Medium,Defensive,High,Humble,True
Clodius Aemilius,24,45,Thrace,174,93,Murmillo,7,3,Tactics,Dagger,Low,Basic,0.5162042136543605,High,4.398882232591759,Poor,Advanced,Moderate,10,Calculative,Excellent,Vengeance,Entertainer,Low,Defensive,Medium,Charismatic,False
Severus Semellius,34,45,Numidia,181,62,Retiarius,13,4,Speed,Trident,High,Superior,0.817511185877136,High,3.08729151703815,Excellent,Advanced,Strong,17,Calculative,Good,Survival,Unemployed,Medium,Balanced,High,Humble,False
Blaesus Terentius,21,72,Gaul,174,91,Secutor,7,2,Endurance,Gladius (Sword),Medium,Standard,0.6514312511367314,Low,7.139612282917022,Adequate,Advanced,Moderate,9,Aggressive,Excellent,Survival,Laborer,Low,Balanced,Low,Humble,True
Acilius Afranius,29,119,Gaul,174,68,Thraex,7,4,Endurance,Sica (Curved Sword),Low,Basic,0.5943240641178377,Low,6.100753694322699,Poor,Expert,Moderate,11,Stoic,Excellent,Vengeance,Laborer,Low,Defensive,Low,Intimidating,False
Valerius Minicius,41,122,Rome,187,82,Thraex,9,4,Strength,Sica (Curved Sword),Medium,Standard,0.6258844257060684,Low,3.613279555786142,Adequate,Advanced,Moderate,13,Calculative,Good,Freedom,Entertainer,Low,Balanced,Medium,Humble,False
Clodius Gordian,28,91,Numidia,202,93,Retiarius,6,0,Speed,Trident,High,Superior,0.7642044951372012,Low,5.179777462573737,Excellent,Advanced,Strong,6,Stoic,Excellent,Glory,Entertainer,Medium,Aggressive,Low,Intimidating,True
Postumius Lentulus,22,55,Gaul,176,85,Provocator,10,3,Novice,Dagger,Low,Basic,0.6994097354132827,Low,7.065385696934223,Poor,Intermediate,Moderate,13,Stoic,Excellent,Glory,Unemployed,High,Aggressive,Medium,Intimidating,True
Sentius Fundanus,28,64,Germania,178,69,Secutor,10,2,Novice,Dagger,Medium,Standard,0.8316503648717691,High,4.714813186286871,Adequate,Basic,Strong,12,Fearful,Good,Glory,Laborer,Low,Balanced,Low,Flamboyant,False
Antonius Caninius,22,66,Thrace,162,68,Secutor,4,0,Speed,Dagger,High,Superior,0.6886852719345589,Low,9.933425374519306,Excellent,Advanced,Strong,4,Aggressive,Excellent,Survival,Criminal,High,Balanced,Low,Charismatic,True
Ogulnius Damasus,18,40,Greece,178,102,Retiarius,4,0,Speed,Trident,High,Superior,0.5293842576447627,High,5.237965327750404,Excellent,Expert,Strong,4,Calculative,Excellent,Survival,Soldier,Medium,Balanced,Medium,Intimidating,True
Octavenus Genucius,36,48,Rome,180,61,Retiarius,10,2,Novice,Net,Low,Basic,0.7595452784448485,Low,3.0373836987177723,Poor,Basic,Strong,12,Aggressive,Good,Glory,Unemployed,Low,Balanced,Medium,Humble,True
Sestius Latinius,42,123,Thrace,181,82,Retiarius,7,1,Strength,Net,Low,Basic,0.655188692526229,Low,2.1766697542463254,Poor,Expert,Moderate,8,Fearful,Good,Wealth,Criminal,Low,Balanced,Low,Intimidating,False
Petilius Antonius,37,50,Gaul,179,71,Provocator,3,0,Speed,Dagger,High,Superior,0.5230794236549513,Low,7.42420040982458,Excellent,Expert,Strong,3,Calculative,Excellent,Freedom,Entertainer,Low,Aggressive,Medium,Intimidating,True
Marian Seccius,32,105,Germania,159,107,Hoplomachus,9,3,Speed,Dagger,Low,Basic,0.7340664688234574,High,0.9719621560558322,Poor,Advanced,Strong,12,Fearful,Good,Wealth,Laborer,Low,Aggressive,High,Flamboyant,False
Persius Baebius,43,130,Rome,188,104,Secutor,17,1,Novice,Gladius (Sword),Medium,Standard,0.8932555490091587,Low,4.986556615121679,Adequate,Intermediate,Strong,18,Aggressive,Good,Wealth,Criminal,Low,Balanced,Medium,Flamboyant,True
Silius Silanus,39,51,Greece,173,74,Thraex,8,0,Novice,Dagger,Low,Basic,0.8292560751010497,Low,2.7661051358608986,Poor,Basic,Strong,8,Stoic,Good,Glory,Laborer,Medium,Balanced,Low,Intimidating,True
Saturninus Quinctilius,20,32,Thrace,172,58,Thraex,9,4,Tactics,Dagger,Medium,Standard,0.6511207246732129,Low,1.8331437443309404,Adequate,Advanced,Moderate,13,Stoic,Excellent,Wealth,Laborer,Low,Aggressive,Medium,Intimidating,False
Pacilius Cominius,35,160,Greece,176,83,Retiarius,12,4,Speed,Net,Medium,Standard,0.7499075983073709,Low,6.898029962884987,Adequate,Advanced,Strong,16,Stoic,Excellent,Survival,Entertainer,Medium,Balanced,High,Flamboyant,True
Statilius Nasidius,43,29,Thrace,182,84,Thraex,12,1,Novice,Sica (Curved Sword),High,Superior,0.8723375993800435,Low,0.9976838166383488,Excellent,Intermediate,Strong,13,Stoic,Good,Freedom,Entertainer,Medium,Balanced,High,Flamboyant,True
Pasidienus Maxentius,25,39,Gaul,179,76,Provocator,2,0,Novice,Dagger,Medium,Standard,0.4238415481760005,Low,7.976621192561437,Adequate,Basic,Moderate,2,Fearful,Excellent,Wealth,Unemployed,Low,Balanced,Low,Charismatic,False
Gratian Vibius,43,48,Greece,188,82,Retiarius,7,0,Agility,Net,High,Superior,0.7358005567639447,Low,1.822458195093392,Excellent,Advanced,Strong,7,Calculative,Good,Survival,Criminal,Low,Aggressive,High,Intimidating,False
Considius Rebilus,19,163,Rome,165,91,Thraex,1,0,Endurance,Dagger,High,Superior,0.4237310598425269,Low,2.8411888275706425,Excellent,Expert,Strong,1,Fearful,Excellent,Survival,Criminal,High,Aggressive,Medium,Intimidating,False
Sidonius Brennus,28,62,Germania,179,68,Retiarius,7,2,Endurance,Trident,Medium,Standard,0.7343969377509646,Low,5.109637229673049,Adequate,Advanced,Strong,9,Calculative,Excellent,Wealth,Criminal,Low,Balanced,Medium,Intimidating,True
Lucius Duronius,30,87,Thrace,189,87,Thraex,7,1,Novice,Sica (Curved Sword),High,Superior,0.6433083451027832,Low,4.817124152059576,Excellent,Intermediate,Strong,8,Stoic,Excellent,Vengeance,Entertainer,Medium,Balanced,Medium,Intimidating,True
Amulius Burrienus,44,15,Greece,165,83,Hoplomachus,9,3,Strength,Dagger,Medium,Standard,0.6963184479983473,Low,3.068857543988316,Adequate,Advanced,Moderate,12,Stoic,Good,Freedom,Entertainer,Low,Balanced,Medium,Humble,False
Betilienus Appius,20,105,Greece,176,103,Secutor,4,2,Tactics,Gladius (Sword),Low,Basic,0.4912672232791419,Low,5.958082578249773,Poor,Advanced,Moderate,6,Calculative,Excellent,Survival,Soldier,Medium,Balanced,Low,Charismatic,False
Severian Herennius,40,20,Greece,171,75,Thraex,14,5,Tactics,Sica (Curved Sword),Medium,Standard,0.9245390417183784,Low,5.889633312784981,Adequate,Expert,Strong,19,Calculative,Good,Survival,Entertainer,Low,Aggressive,Medium,Humble,True
Silius Caninius,27,52,Germania,178,87,Secutor,5,2,Endurance,Dagger,Medium,Standard,0.5083304258358545,Low,4.790664899145701,Adequate,Advanced,Moderate,7,Stoic,Excellent,Glory,Criminal,Medium,Aggressive,Low,Charismatic,False
Aelius Sempronius,34,129,Greece,185,76,Hoplomachus,8,3,Novice,Dagger,Low,Basic,0.618376831662837,Low,3.4626747555426114,Poor,Basic,Moderate,11,Calculative,Excellent,Vengeance,Unemployed,Low,Balanced,Medium,Charismatic,False
Sornatius Constantinus,45,177,Numidia,161,79,Provocator,11,2,Tactics,Dagger,High,Superior,0.945804049056026,Low,5.327480052879523,Excellent,Advanced,Strong,13,Fearful,Good,Freedom,Laborer,Medium,Balanced,High,Flamboyant,True
Rebilus Persius,43,107,Germania,161,71,Thraex,7,1,Novice,Sica (Curved Sword),Medium,Standard,0.6653300574787229,Low,1.239417842664219,Adequate,Intermediate,Moderate,8,Calculative,Good,Survival,Entertainer,Medium,Aggressive,Medium,Intimidating,False
Balbinus Furius,29,21,Numidia,185,77,Thraex,5,0,Novice,Dagger,Medium,Standard,0.5823090283327201,High,5.310924678792087,Adequate,Basic,Moderate,5,Stoic,Good,Freedom,Entertainer,Medium,Balanced,Medium,Humble,False
Porcius Tarquinius,29,43,Gaul,176,51,Provocator,5,3,Endurance,Dagger,High,Superior,0.526196591330219,High,4.503521605358371,Excellent,Expert,Strong,8,Stoic,Excellent,Glory,Unemployed,Medium,Balanced,High,Intimidating,False
Damasus Ogulnius,31,30,Gaul,167,82,Provocator,16,1,Strength,Dagger,Low,Basic,1.0008132449273843,Low,5.621638870468922,Poor,Expert,Strong,17,Calculative,Excellent,Vengeance,Entertainer,Medium,Balanced,High,Intimidating,True
Salvidienus Fannius,34,22,Thrace,176,83,Provocator,7,2,Endurance,Gladius (Sword),Medium,Standard,0.6800936218123432,Low,4.930552174478002,Adequate,Expert,Moderate,9,Aggressive,Excellent,Glory,Unemployed,Medium,Aggressive,Medium,Charismatic,True
Maecilius Geminius,30,53,Thrace,176,67,Provocator,6,1,Novice,Gladius (Sword),High,Superior,0.6422515291028572,Low,3.1396051847539965,Excellent,Intermediate,Strong,7,Stoic,Excellent,Survival,Entertainer,Medium,Aggressive,Low,Intimidating,True
Laetorius Musonius,20,71,Germania,169,92,Retiarius,4,1,Agility,Net,Medium,Standard,0.5526218439536303,Low,7.198396108674219,Adequate,Expert,Moderate,5,Fearful,Excellent,Vengeance,Soldier,High,Defensive,Medium,Intimidating,False
Foslius Blasius,29,56,Thrace,174,86,Murmillo,8,5,Endurance,Dagger,Medium,Standard,0.5450608566383441,High,5.066911834344738,Adequate,Expert,Moderate,13,Stoic,Good,Freedom,Criminal,Low,Balanced,Medium,Charismatic,False
Aquillius Spurius,25,41,Greece,185,83,Thraex,2,0,Speed,Dagger,High,Superior,0.4966087361132916,Low,6.97635434952066,Excellent,Expert,Strong,2,Aggressive,Excellent,Freedom,Laborer,Medium,Balanced,High,Intimidating,False
Constantinus Fabianus,42,58,Germania,173,81,Murmillo,18,1,Tactics,Gladius (Sword),Medium,Standard,0.8968545182437221,High,1.03207528988659,Adequate,Expert,Strong,19,Calculative,Fair,Survival,Criminal,Low,Balanced,High,Intimidating,True
Papirius Numerius,21,86,Gaul,163,104,Murmillo,3,1,Endurance,Gladius (Sword),Medium,Standard,0.4713738523386798,Low,4.58920121042208,Adequate,Advanced,Moderate,4,Aggressive,Excellent,Survival,Unemployed,High,Defensive,Medium,Charismatic,False
Semellius Catius,23,73,Rome,187,78,Thraex,8,2,Novice,Dagger,High,Superior,0.6126738371045425,Low,5.401338251710999,Excellent,Intermediate,Strong,10,Stoic,Excellent,Vengeance,Unemployed,High,Balanced,High,Charismatic,True
Varro Musonius,23,62,Greece,190,65,Retiarius,3,1,Novice,Trident,High,Superior,0.5338142090582916,Low,8.592576145071005,Excellent,Intermediate,Strong,4,Stoic,Excellent,Glory,Unemployed,Medium,Balanced,High,Charismatic,False
Silanus Domitius,20,43,Gaul,192,93,Hoplomachus,7,1,Endurance,Spear,High,Superior,0.7393122725779671,High,3.799011922143648,Excellent,Advanced,Strong,8,Stoic,Excellent,Freedom,Criminal,Medium,Balanced,Medium,Flamboyant,True
Iunius Faustus,18,87,Greece,181,105,Secutor,7,0,Endurance,Gladius (Sword),Medium,Standard,0.8460214378850119,Low,4.874116711987154,Adequate,Advanced,Strong,7,Calculative,Excellent,Survival,Laborer,High,Aggressive,Medium,Charismatic,True
Opimius Laronius,18,133,Germania,166,88,Secutor,5,1,Novice,Dagger,Medium,Standard,0.5158675332341123,Low,4.819898830340375,Adequate,Intermediate,Moderate,6,Calculative,Excellent,Glory,Criminal,Medium,Balanced,Medium,Intimidating,False
Pontidius Mamilius,19,31,Rome,169,83,Thraex,6,2,Novice,Sica (Curved Sword),High,Superior,0.655260907885242,Low,4.156729854182283,Excellent,Intermediate,Strong,8,Stoic,Excellent,Survival,Laborer,Medium,Balanced,High,Intimidating,False
Urbicus Opellius,34,16,Greece,190,94,Hoplomachus,6,2,Strength,Dagger,Medium,Standard,0.5876595239293347,Low,4.802903360905336,Adequate,Advanced,Moderate,8,Fearful,Excellent,Vengeance,Entertainer,Low,Balanced,Medium,Charismatic,False
Sabucius Tiberius,20,85,Numidia,177,83,Provocator,7,5,Strength,Gladius (Sword),High,Superior,0.4428230910675355,High,6.562198694586108,Excellent,Advanced,Strong,12,Aggressive,Excellent,Vengeance,Entertainer,Medium,Aggressive,High,Humble,True
Cosconius Gabinius,33,17,Thrace,168,101,Secutor,7,1,Novice,Dagger,High,Superior,0.6353198225191806,Low,2.287673401461939,Excellent,Basic,Strong,8,Fearful,Excellent,Glory,Criminal,Low,Balanced,High,Intimidating,False
Plinius Salvidienus,40,35,Greece,156,94,Retiarius,10,4,Endurance,Net,High,Superior,0.673789452231853,Low,6.242206784555157,Excellent,Expert,Strong,14,Calculative,Excellent,Survival,Criminal,Medium,Balanced,Medium,Humble,True
Paulinus Publius,20,49,Gaul,167,102,Secutor,3,1,Agility,Dagger,Low,Basic,0.535608844801684,Low,10.334736777066048,Poor,Advanced,Moderate,4,Aggressive,Excellent,Glory,Criminal,Medium,Balanced,Medium,Intimidating,False
Salvian Nerva,21,59,Gaul,193,39,Hoplomachus,3,0,Novice,Spear,Medium,Standard,0.5206450683927505,Low,5.38331437506672,Adequate,Intermediate,Moderate,3,Calculative,Excellent,Freedom,Criminal,Medium,Aggressive,Medium,Intimidating,False
Valentinian Seccius,20,32,Greece,204,82,Thraex,3,0,Speed,Sica (Curved Sword),Medium,Standard,0.4004871803344287,Low,7.253320366901889,Adequate,Advanced,Moderate,3,Fearful,Excellent,Glory,Soldier,Medium,Balanced,Medium,Humble,False
Constantinus Sabucius,33,229,Rome,192,80,Hoplomachus,7,3,Novice,Spear,Low,Basic,0.6556067610509034,Low,4.098357851668073,Poor,Basic,Moderate,10,Calculative,Excellent,Freedom,Criminal,Medium,Aggressive,Medium,Intimidating,False
Atilius Albinius,26,73,Greece,168,87,Provocator,5,3,Strength,Gladius (Sword),Low,Basic,0.4260293781937577,Low,0.9224908852169068,Poor,Advanced,Moderate,8,Stoic,Excellent,Survival,Laborer,Low,Balanced,Medium,Charismatic,False
Silanus Baebius,27,358,Gaul,161,79,Provocator,5,1,Novice,Gladius (Sword),Medium,Standard,0.6806155049946904,Low,6.755679450103748,Adequate,Intermediate,Moderate,6,Fearful,Excellent,Survival,Entertainer,Medium,Balanced,Low,Humble,True
Novellius Servilius,39,131,Gaul,187,68,Murmillo,5,1,Novice,Dagger,High,Superior,0.6466458267620885,Low,5.963106483666393,Excellent,Intermediate,Strong,6,Fearful,Excellent,Glory,Entertainer,Medium,Balanced,High,Intimidating,True
Salvius Cinna,42,68,Rome,185,75,Provocator,13,6,Novice,Dagger,High,Superior,0.7207596417632331,High,3.913489910448768,Excellent,Intermediate,Strong,19,Calculative,Fair,Freedom,Criminal,Medium,Balanced,Medium,Intimidating,True
Laelius Memmius,19,220,Greece,178,80,Hoplomachus,3,0,Novice,Dagger,Low,Basic,0.6251839607355696,Low,6.359705421252444,Poor,Intermediate,Moderate,3,Stoic,Excellent,Survival,Laborer,High,Aggressive,Medium,Humble,False
Cassius Bruttius,23,62,Germania,180,70,Hoplomachus,2,0,Agility,Spear,Low,Basic,0.5597772482000434,Low,3.784737101164811,Poor,Expert,Moderate,2,Calculative,Excellent,Glory,Criminal,Medium,Balanced,Medium,Charismatic,False
Valens Fabianus,45,26,Gaul,155,62,Provocator,14,7,Endurance,Dagger,Medium,Standard,0.7539760217636104,High,1.655614494163539,Adequate,Expert,Strong,21,Calculative,Fair,Survival,Unemployed,Medium,Balanced,Medium,Humble,False
Catilius Cyprian,43,192,Greece,168,93,Hoplomachus,6,0,Novice,Dagger,Low,Basic,0.6135654419996291,Low,2.8844682453801784,Poor,Intermediate,Moderate,6,Calculative,Good,Freedom,Laborer,Medium,Aggressive,Medium,Humble,False
Ennius Petilius,45,83,Germania,172,96,Secutor,10,4,Strength,Dagger,Medium,Standard,0.7093506256746618,High,1.0388337229849742,Adequate,Advanced,Strong,14,Stoic,Fair,Glory,Laborer,Low,Balanced,High,Charismatic,False
Saturninus Aelius,22,48,Rome,173,114,Retiarius,5,1,Novice,Trident,Medium,Standard,0.5534017144582746,Low,10.550613751586466,Adequate,Intermediate,Moderate,6,Aggressive,Excellent,Glory,Entertainer,Medium,Balanced,Low,Charismatic,True
